msg, files, lines, committer_date, 'modified_files'
Spec: Update REST CreateNamespaceResponse with properties (#4039),1,25,2022-02-08 08:09:58-08:00,['rest-catalog-open-api.yaml']
Build: Upgrade to Gradle 7.4 (#4066),2,4,2022-02-08 08:10:29-08:00,"['gradle-wrapper.properties', 'gradlew']"
Hive: Fix Javadoc argument (#4064),1,4,2022-02-08 08:11:25-08:00,['TestHiveMetastore.java']
Spark 3.2: Add Scala 2.13 build and CI (#4009),27,260,2022-02-08 11:57:05-08:00,"['publish-snapshot.yml', 'spark-ci.yml', 'gradle.properties', 'jmh.gradle', 'settings.gradle', 'build.gradle', 'AssignmentAlignmentSupport.scala', 'ResolveProcedures.scala', 'RewriteRowLevelCommand.scala', 'ExtendedV2ExpressionUtils.scala', 'IcebergSparkSqlExtensionsParser.scala', 'IcebergSqlExtensionsAstBuilder.scala', 'Call.scala', 'WriteDelta.scala', 'CallExec.scala', 'ExtendedDataSourceV2Strategy.scala', 'ExtendedDistributionAndOrderingUtils.scala', 'SetIdentifierFieldsExec.scala', 'WriteDeltaExec.scala', 'RowLevelCommandDynamicPruning.scala', 'Spark3Util.java', 'SparkTableUtil.java', 'DistributionAndOrderingUtils.scala', 'TestCreateActions.java', 'TestForwardCompatibility.java', 'TestStructuredStreaming.java', 'versions.props']"
"Tests: Replace DataWriter::add with DataWriter::write in tests (#4053)

This is a follow-up change of #4048",7,18,2022-02-08 11:58:21-08:00,"['TestAvroDataWriter.java', 'TestOrcDataWriter.java', 'TestAppenderFactory.java', 'TestFileWriterFactory.java', 'TestGenericSortedPosDeleteWriter.java', 'TestWriterMetrics.java', 'TestParquetDataWriter.java']"
Docs: add new site markdown files (#4062),80,8811,2022-02-08 13:42:14-08:00,"['labeler.yml', 'flink-ci.yml', 'hive-ci.yml', 'java-ci.yml', 'spark-ci.yml', '.rat-excludes', 'blogs.md', 'join.md', 'talks.md', 'spec.md', 'terms.md', 'benchmarks.md', 'how-to-release.md', 'multi-engine-support.md', 'roadmap.md', 'security.md', 'trademarks.md', 'how-to-verify-a-release.md', 'release-notes.md', '_index.md', 'java-api-quickstart.md', 'java-api.md', 'java-custom-catalog.md', '_index.md', 'python-api-intro.md', 'python-feature-support.md', 'python-quickstart.md', '_index.md', '_index.md', '_index.md', '_index.md', '_index.md', '_index.md', '_index.md', '_index.md', 'blogs.md', 'join.md', 'talks.md', '_index.md', '_index.md', '_index.md', 'flink-connector.md', 'flink-getting-started.md', '_index.md', 'spec.md', 'terms.md', '_index.md', '_index.md', 'aws.md', 'jdbc.md', 'nessie.md', '_index.md', '_index.md', 'benchmarks.md', 'how-to-release.md', 'roadmap.md', 'security.md', 'trademarks.md', '_index.md', '_index.md', '_index.md', '_index.md', 'release-notes.md', '_index.md', 'spark-configuration.md', 'spark-ddl.md', 'spark-getting-started.md', 'spark-procedures.md', 'spark-queries.md', 'spark-structured-streaming.md', 'spark-writes.md', '_index.md', 'configuration.md', 'evolution.md', 'maintenance.md', 'partitioning.md', 'performance.md', 'reliability.md', 'schemas.md', '_index.md']"
Spark 3.2: Fix testUpdateWithoutCondition for copy-on-write (#4033),2,45,2022-02-08 20:49:13-08:00,"['SparkRowLevelOperationsTestBase.java', 'TestUpdate.java']"
Docs: update documentation contribution instructions (#4069),1,5,2022-02-08 22:43:37-08:00,['CONTRIBUTING.md']
Spec: Move REST catalog OpenAPI spec to new docs/rest folder (#4057),1,0,2022-02-09 10:55:03-08:00,['rest-catalog-open-api.yaml']
Python (legacy): Add Decimal type conversion (#3988),4,251,2022-02-09 16:51:01-08:00,"['TestConversions.java', 'conversions.py', 'type_util.py', 'test_conversions.py']"
Python: Add InputStream and OutputStream protocols for FileIO streams (#4021),2,77,2022-02-09 16:54:45-08:00,"['base.py', 'test_base.py']"
"Core: Add reference structures to TableMetadata to unblock TableMetadata API changes (#4082)

Co-authored-by: @hameizi 1249369293@qq.com
Co-authored-by: @jackye1995 yzhaoqin@amazon.com",3,41,2022-02-10 07:58:52-08:00,"['TableMetadata.java', 'TableMetadataParser.java', 'TestTableMetadata.java']"
Flink: Support custom snapshot metadata in sink builder (#4061),4,38,2022-02-10 08:10:14-08:00,"['FlinkSink.java', 'IcebergFilesCommitter.java', 'TestFlinkIcebergSink.java', 'TestIcebergFilesCommitter.java']"
ORC: Upgrade ORC to 1.7.3 (#4084),1,2,2022-02-10 08:10:49-08:00,['versions.props']
Nessie: Use consistent naming for LOG (#4076),2,16,2022-02-10 10:10:53-08:00,"['NessieCatalog.java', 'BaseTestIceberg.java']"
Core: Add support for writing and reading ZSTD Avro Files (#4083),2,66,2022-02-10 21:18:02-08:00,"['TableProperties.java', 'Avro.java']"
"Docs: Update Release Artifacts in Quickstart Commands for Spark (#4078)

* Update Release Artifacts in Quickstart Commands for Spark to Spark3.2 Artifacts",6,19,2022-02-11 11:22:00-06:00,"['how-to-verify-a-release.md', 'java-api.md', 'aws.md', 'jdbc.md', 'nessie.md', 'spark-getting-started.md']"
AWS: fix inconsistency of S3 checksum feature names (#4103),1,17,2022-02-12 12:21:36-08:00,['AwsProperties.java']
Docs: refer to multi-engine-support page for engine compatibility (#4067),1,23,2022-02-12 14:17:29-08:00,['README.md']
"Build: Exclude readme, contributing and gitattributes from CI (#4107)",5,25,2022-02-13 11:16:13-08:00,"['labeler.yml', 'flink-ci.yml', 'hive-ci.yml', 'java-ci.yml', 'spark-ci.yml']"
Build: Add GCP label (#4108),1,2,2022-02-13 11:16:42-08:00,['labeler.yml']
Flink: Support HDFS locality with LocatableInputSplit (#3817),7,149,2022-02-13 19:02:42-08:00,"['FlinkConfigOptions.java', 'FlinkInputFormat.java', 'FlinkInputSplit.java', 'FlinkSource.java', 'FlinkSplitPlanner.java', 'ScanContext.java', 'TestFlinkScanSql.java']"
Docs: Add separate contributing page for Iceberg website. (#4096),8,252,2022-02-14 08:30:58-08:00,"['blogs.md', 'contribute.md', 'join.md', 'talks.md', 'blogs.md', 'contributing.md', 'join.md', 'talks.md']"
Docs: add multi-engine support redirect page in versioned doc project section (#4104),1,20,2022-02-14 08:32:47-08:00,['multi-engine-support.md']
Core: Disable metrics for wide tables to reduce metadata size (#3959),9,273,2022-02-14 08:50:41-08:00,"['MetricsConfig.java', 'TestWriterMetrics.java', 'TestFlinkWriterMetrics.java', 'TestFlinkWriterMetrics.java', 'TestFlinkWriterMetrics.java', 'TestSparkWriterMetrics.java', 'TestSparkWriterMetrics.java', 'TestSparkWriterMetrics.java', 'TestSparkWriterMetrics.java']"
Docs: add engine support start version and Flink 1.11 information (#4109),1,38,2022-02-14 10:16:16-08:00,['multi-engine-support.md']
Infra: ignore docs folder for release (#4106),1,4,2022-02-14 10:16:56-08:00,['.gitattributes']
Flink: Avoid writing duplicate equality deletes (#3834),5,57,2022-02-14 10:57:55-08:00,"['BaseTaskWriter.java', 'TestTaskEqualityDeltaWriter.java', 'TestDeltaTaskWriter.java', 'TestDeltaTaskWriter.java', 'TestDeltaTaskWriter.java']"
Docs: Fix spark runtime jar link (#4124),1,2,2022-02-14 14:02:22-08:00,['spark-getting-started.md']
API: Fail Namespace with null level or null character (#3938),2,36,2022-02-14 15:10:10-08:00,"['Namespace.java', 'TestNamespace.java']"
Docs: add website release instruction (#4105),1,71,2022-02-14 15:59:42-08:00,['how-to-release.md']
"Data: Close Migration ExecutorService if Started (#4125)

Previously, the executor service created for parallel reading of partitions in
TableMigrationUtil would only be claused when the finalizer was called. Instead in this
patch we close the service as soon as the method has completed.",1,8,2022-02-14 16:02:43-08:00,['TableMigrationUtil.java']
Docs: Add 0.13.1 release notes (#4122),2,38,2022-02-15 09:26:51-08:00,"['release-notes.md', '_index.md']"
Core: Replace setCurrentSnapshot with setBranchSnapshot in metadata builder (#4089),6,156,2022-02-15 14:21:19-08:00,"['SnapshotRef.java', 'MetadataUpdate.java', 'SnapshotProducer.java', 'TableMetadata.java', 'NessieTableOperations.java', 'TestIcebergSourceTablesBase.java']"
Spark 3.2: Implement merge-on-read MERGE (#4047),9,697,2022-02-15 14:27:44-08:00,"['RewriteMergeIntoTable.scala', 'MergeRows.scala', 'TestMerge.java', 'TestMergeOnReadMerge.java', 'SparkDistributionAndOrderingUtil.java', 'SparkWriteConf.java', 'SparkPositionDeltaWriteBuilder.java', 'SparkTestBase.java', 'TestSparkDistributionAndOrderingUtil.java']"
Core: Update SnapshotManager to use a Transaction (#4128),9,684,2022-02-15 16:28:42-08:00,"['BaseTransaction.java', 'CherryPickOperation.java', 'SetSnapshotOperation.java', 'SnapshotManager.java', 'TestSnapshotManager.java', 'TestWapWorkflow.java', 'TestCherrypickSnapshotProcedure.java', 'TestCherrypickSnapshotProcedure.java', 'TestCherrypickSnapshotProcedure.java']"
Arrow: Bump Apache Arrow 7.0.0 (#4112),1,4,2022-02-15 16:34:04-08:00,['versions.props']
Core: use setBranchSnapshot to commit SetSnapshotOperation (#4138),1,2,2022-02-15 22:37:59-08:00,['SetSnapshotOperation.java']
Bump Nessie from 0.18.0 to 0.19.0 (#4055),3,16,2022-02-16 10:06:29+01:00,"['BaseTestIceberg.java', 'TestNessieTable.java', 'versions.props']"
Docs: Broken JavaDoc Links on Spark Procedures Page (#4136),1,6,2022-02-16 10:39:26-08:00,['spark-procedures.md']
"Spark: Close executor services after action completes in Procedures (#4126)

* Spark: Close executor services after action completes in Procedures

Previously executor services were left to be GC'd, instead now they are
shutdown immediately after the action completes.",3,83,2022-02-16 14:42:01-06:00,"['BaseProcedure.java', 'ExpireSnapshotsProcedure.java', 'RemoveOrphanFilesProcedure.java']"
"Avro: Fix BuildAvroProjection list and map handling to preserve field IDs (#4120)

Co-authored-by: Haizhou Zhao <haizhou_zhao@apple.com>",6,483,2022-02-16 14:31:21-08:00,"['AvroSchemaUtil.java', 'BuildAvroProjection.java', 'HasIds.java', 'MissingIds.java', 'TestAvroSchemaProjection.java', 'TestBuildAvroProjection.java']"
Nessie: Bump dependency from 0.19.0 to 0.20.0 (#4143),1,2,2022-02-16 14:33:28-08:00,['versions.props']
"Core: Add MetricsContext to enable metrics tracking, initial IO metrics (#4050)",10,409,2022-02-16 16:56:28-08:00,"['FileIOMetricsContext.java', 'MetricsContext.java', 'BaseS3File.java', 'S3FileIO.java', 'S3InputFile.java', 'S3InputStream.java', 'S3OutputFile.java', 'S3OutputStream.java', 'TestS3OutputStream.java', 'HadoopMetricsContext.java']"
AWS: Upgrade AWS SDK to 2.17.131 (#4153),1,2,2022-02-17 09:07:38-08:00,['versions.props']
Core: Support parallel planning for snapshots expiration (#4148),3,28,2022-02-17 12:09:09-08:00,"['ExpireSnapshots.java', 'RemoveSnapshots.java', 'TestRemoveSnapshots.java']"
"Parquet: Fix parquet zstd compression level conf (#4075)

Co-authored-by: zhongyujiang <zhongyujiang@xiaomi.com>",1,2,2022-02-17 13:31:06-08:00,['Parquet.java']
Dell: Add Dell EMC EcsFileIO.  (#3376),23,2173,2022-02-18 14:17:35+08:00,"['build.gradle', 'DellClientFactories.java', 'DellClientFactory.java', 'DellProperties.java', 'BaseEcsFile.java', 'EcsAppendOutputStream.java', 'EcsFileIO.java', 'EcsInputFile.java', 'EcsOutputFile.java', 'EcsSeekableInputStream.java', 'EcsURI.java', 'TestEcsAppendOutputStream.java', 'TestEcsInputFile.java', 'TestEcsOutputFile.java', 'TestEcsSeekableInputStream.java', 'TestEcsURI.java', 'MockDellClientFactory.java', 'EcsS3MockRule.java', 'MockS3Client.java', 'ObjectData.java', 'TestExceptionCode.java', 'settings.gradle', 'versions.props']"
Spark: Fix flaky testDeleteWithSerializableIsolation (#4123),3,57,2022-02-17 22:27:21-08:00,"['TestDelete.java', 'TestDelete.java', 'TestDelete.java']"
Flink 1.13: Support HDFS locality with LocatableInputSplit (#4111),7,144,2022-02-18 08:48:35-08:00,"['FlinkConfigOptions.java', 'FlinkInputFormat.java', 'FlinkInputSplit.java', 'FlinkSource.java', 'FlinkSplitGenerator.java', 'ScanContext.java', 'TestFlinkScanSql.java']"
Parquet: Make row group record checks configurable (#3181),8,154,2022-02-18 09:20:47-08:00,"['TableProperties.java', 'Parquet.java', 'ParquetWriter.java', 'TestParquet.java', 'TestParquetDictionaryEncodedVectorizedReads.java', 'TestParquetDictionaryEncodedVectorizedReads.java', 'TestParquetDictionaryEncodedVectorizedReads.java', 'TestParquetDictionaryEncodedVectorizedReads.java']"
Spark 3.2: Bump Spark version to 3.2.1 (#4163),1,2,2022-02-18 15:29:32-08:00,['build.gradle']
Spark: Enable test blocked by SPARK-33267 (#4172),4,8,2022-02-20 08:25:16-08:00,"['TestDelete.java', 'TestUpdate.java', 'TestDelete.java', 'TestUpdate.java']"
API: Use murmur3_32_fixed in bucket unit tests (#4171),1,2,2022-02-20 08:25:55-08:00,['TestBucketing.java']
Spark: Add unit test for ExpireSnapshot with DeleteFile (#4141),1,77,2022-02-20 08:33:28-08:00,['TestExpireSnapshotsProcedure.java']
Core: Support parallel scan planning with a custom thread pool (#4146),11,207,2022-02-20 08:36:43-08:00,"['TableScan.java', 'AllDataFilesTable.java', 'AllEntriesTable.java', 'BaseTableScan.java', 'DataTableScan.java', 'IncrementalDataTableScan.java', 'PartitionsTable.java', 'TableScanContext.java', 'TestDataTableScan.java', 'TestIncrementalDataTableScan.java', 'TestMetadataTableScans.java']"
Docs: Add Snowflake and Dremio blogs and link recent talks (#4170),2,16,2022-02-20 08:37:43-08:00,"['blogs.md', 'talks.md']"
Nessie: Bump dependency to 0.20.1 (#4160),1,2,2022-02-20 08:46:02-08:00,['versions.props']
Flink: Support configurable Scala version (#4157),4,135,2022-02-20 08:56:53-08:00,"['build.gradle', 'build.gradle', 'build.gradle', 'settings.gradle']"
Doc: Delete duplicate contents in spec (#4156),1,2,2022-02-20 09:04:50-08:00,['spec.md']
Docs: Add Spark streaming option skip-overwrites (#4121),1,2,2022-02-20 09:06:40-08:00,['spark-structured-streaming.md']
Spark: Use Spark's ANTLR version and exclude it from runtime jars (#4118),6,209,2022-02-20 09:08:54-08:00,"['build.gradle', 'LICENSE', 'build.gradle', 'LICENSE', 'build.gradle', 'LICENSE']"
"Docs: Add missing configuration properties (#4119)

Co-authored-by: Ryan Blue <blue@apache.org>",1,21,2022-02-20 09:43:53-08:00,['configuration.md']
Python (legacy): Skipping HMS host and port check when using iprot (#4070),2,25,2022-02-20 11:17:46-08:00,"['hive_tables.py', 'test_hive_tables.py']"
Docs: Update AWS SDK version in site doc (#4180),1,12,2022-02-21 10:38:31-08:00,['aws.md']
Spark: Log when converting delete to metadata-only-delete (#4169),1,4,2022-02-21 10:39:48-08:00,['OptimizeMetadataOnlyDeleteFromTable.scala']
Core: Support write manifest changes with a custom worker pool (#4147),8,115,2022-02-21 10:50:21-08:00,"['SnapshotUpdate.java', 'BaseRewriteManifests.java', 'ManifestFilterManager.java', 'ManifestMergeManager.java', 'MergingSnapshotProducer.java', 'SnapshotProducer.java', 'TestMergeAppend.java', 'TestRewriteManifests.java']"
"Docs: Minor updates to Python API intro (#4151)

Co-authored-by: jeehong.lee@navercorp.com <jeehong.lee@navercorp.com>",1,5,2022-02-21 14:22:25-08:00,['python-api-intro.md']
Spark: Delete dataFile on iteration level in SparkParquetWritersFlatDataBenchmark (#4149),4,12,2022-02-21 14:24:07-08:00,"['SparkParquetWritersFlatDataBenchmark.java', 'SparkParquetWritersFlatDataBenchmark.java', 'SparkParquetWritersFlatDataBenchmark.java', 'SparkParquetWritersFlatDataBenchmark.java']"
"Core: Add REST requests, responses, and serialization (#4037)",22,2703,2022-02-21 16:27:13-08:00,"['Namespace.java', 'TableIdentifierParser.java', 'RESTSerializers.java', 'CreateNamespaceRequest.java', 'UpdateNamespacePropertiesRequest.java', 'CreateNamespaceResponse.java', 'DropNamespaceResponse.java', 'GetNamespaceResponse.java', 'ListNamespacesResponse.java', 'ListTablesResponse.java', 'UpdateNamespacePropertiesResponse.java', 'JsonUtil.java', 'TestTableIdentifierParser.java', 'RequestResponseTestBase.java', 'TestCreateNamespaceRequest.java', 'TestUpdateNamespacePropertiesRequest.java', 'TestCreateNamespaceResponse.java', 'TestDropNamespaceResponse.java', 'TestGetNamespaceResponse.java', 'TestListNamespacesResponse.java', 'TestListTablesResponse.java', 'TestUpdateNamespacePropertiesResponse.java']"
Add test for remove orphan files with delete files (#4182),3,106,2022-02-22 00:02:16-06:00,"['TestExpireSnapshotsProcedure.java', 'TestRemoveOrphanFilesProcedure.java', 'TestHelpers.java']"
Flink: Fix the testing utility SimpleDataUtil#snapshotToDataFiles (#4187),3,12,2022-02-22 19:19:18+08:00,"['SimpleDataUtil.java', 'SimpleDataUtil.java', 'SimpleDataUtil.java']"
"Spark 3.2: Fix JMH Spark parquet benchmark (#3910)

Co-authored-by: zhongyujiang <zhongyujiang@xiaomi.com>",5,15,2022-02-22 09:33:00-08:00,"['jmh-bechmarks.yml', 'SparkParquetWritersNestedDataBenchmark.java', 'SparkParquetWritersNestedDataBenchmark.java', 'SparkParquetWritersNestedDataBenchmark.java', 'SparkParquetWritersNestedDataBenchmark.java']"
Python: Reuse types with __new__ (#4016),2,481,2022-02-22 09:43:07-08:00,"['types.py', 'test_types.py']"
Core: Use consistent constant definition for Parquet page sizes (#4199),1,6,2022-02-22 11:25:48-08:00,['TableProperties.java']
Spark 3.2: Fix method names for reading content files in actions (#4198),6,45,2022-02-22 12:43:50-08:00,"['DeleteOrphanFiles.java', 'ExpireSnapshots.java', 'BaseDeleteOrphanFilesSparkAction.java', 'BaseDeleteReachableFilesSparkAction.java', 'BaseExpireSnapshotsSparkAction.java', 'BaseSparkAction.java']"
Core: Remove deprecated table properties staged for removal in 0.14 (#4197),1,11,2022-02-22 12:45:13-08:00,['TableProperties.java']
Core : Fix assert message in TestDeleteFileIndex (#4178),1,2,2022-02-22 16:55:50-06:00,['TestDeleteFileIndex.java']
Core: Support Namespace properties in JDBC Catalog (#3275),3,374,2022-02-22 16:23:59-08:00,"['JdbcCatalog.java', 'JdbcUtil.java', 'TestJdbcCatalog.java']"
Parquet: Enable vectorized reads by default (#4196),2,5,2022-02-22 16:25:32-08:00,"['TableProperties.java', 'TestSparkTableUtilWithInMemoryCatalog.java']"
Docs: Fix numeration in Metastore Tables section (#4195),1,8,2022-02-22 19:17:47-08:00,['spec.md']
Spark 3.2: Support mergeSchema option on write (#4154),13,344,2022-02-22 20:43:15-08:00,"['Schema.java', 'ReassignIds.java', 'TypeUtil.java', 'TableProperties.java', 'FixupTypes.java', 'SparkConfParser.java', 'SparkSchemaUtil.java', 'SparkWriteConf.java', 'SparkWriteOptions.java', 'SparkTable.java', 'SparkWriteBuilder.java', 'SparkTestBase.java', 'TestDataFrameWriterV2.java']"
AWS: Use Glue optimistic locking while updating table (#4166),2,42,2022-02-22 22:07:21-08:00,"['GlueCatalog.java', 'GlueTableOperations.java']"
Core: Add simple REST request interface and error response (#4201),4,291,2022-02-23 07:47:20-08:00,"['RESTClient.java', 'ErrorResponse.java', 'ErrorResponseParser.java', 'TestErrorResponseParser.java']"
AWS: make DynamoDbLockManager public (#4102),4,742,2022-02-23 09:49:42-08:00,"['TestDynamoDbLockManager.java', 'TestGlueCatalogLock.java', 'DynamoDbLockManager.java', 'DynamoLockManager.java']"
Core: Update GenericManifestFile toString (#4185),1,3,2022-02-23 12:55:56-06:00,['GenericManifestFile.java']
Core: Add error handlers and exceptions for the REST catalog (#4202),6,298,2022-02-23 11:07:02-08:00,"['BadRequestException.java', 'ForbiddenException.java', 'NotAuthorizedException.java', 'RESTException.java', 'ServiceFailureException.java', 'ErrorHandlers.java']"
AWS: Use independent http client for AWS clients (#4175),4,21,2022-02-23 12:25:58-08:00,"['TestAssumeRoleAwsClientFactory.java', 'AssumeRoleAwsClientFactory.java', 'AwsClientFactories.java', 'TestS3FileIO.java']"
Python: Add PyArrowFileIO Implementation (#4081),5,705,2022-02-23 12:27:23-08:00,"['base.py', 'pyarrow.py', 'test_base.py', 'test_pyarrow.py', 'tox.ini']"
Flink 1.14: Fix flaky testHashDistributeMode by ingesting all rows in one checkpoint cycle (#4189),3,93,2022-02-23 12:33:25-08:00,"['TestFlinkTableSink.java', 'BoundedTableFactory.java', 'BoundedTestSource.java']"
Flink 1.12: Fix flaky testHashDistributeMode by ingesting all rows in one checkpoint cycle (#4214),3,93,2022-02-25 09:29:31+08:00,"['TestFlinkTableSink.java', 'BoundedTableFactory.java', 'BoundedTestSource.java']"
Flink 1.13: Fix flaky testHashDistributeMode by ingesting all rows in one checkpoint cycle (#4213),3,93,2022-02-25 09:31:18+08:00,"['TestFlinkTableSink.java', 'BoundedTableFactory.java', 'BoundedTestSource.java']"
Docs: fix doc for flink streaming reading (#4205),1,2,2022-02-25 11:14:05+08:00,['flink-getting-started.md']
Flink: Add DataIteratorBatcher that is an iterator of batches (#4060),6,645,2022-02-25 10:13:48-08:00,"['BaseFileScanTask.java', 'FlinkConfigOptions.java', 'DataIterator.java', 'ArrayPoolDataIteratorBatcher.java', 'DataIteratorBatcher.java', 'TestArrayPoolDataIteratorBatcherRowData.java']"
Build: Verify integrity of gradle distribution (#4206),1,2,2022-02-25 10:56:07-08:00,['gradle-wrapper.properties']
Core: Update JDBC catalog implementation (#4220),3,395,2022-02-25 12:16:21-08:00,"['JdbcCatalog.java', 'JdbcUtil.java', 'TestJdbcCatalog.java']"
Core: Add config response class for REST catalog (#4184),2,427,2022-02-25 12:21:41-08:00,"['RESTCatalogConfigResponse.java', 'TestRESTCatalogConfigResponse.java']"
Core: Make REST response builders public (#4232),4,8,2022-02-25 13:56:10-08:00,"['CreateNamespaceResponse.java', 'GetNamespaceResponse.java', 'ListNamespacesResponse.java', 'ListTablesResponse.java']"
Core: Avoid possible NPE in RESTCatalogConfigResponse#merge (#4233),1,8,2022-02-25 13:56:55-08:00,['RESTCatalogConfigResponse.java']
"Core: Clean up JDBC implementation, add catalog namespace tests (#4231)",4,806,2022-02-25 13:57:13-08:00,"['JdbcCatalog.java', 'JdbcUtil.java', 'CatalogTests.java', 'TestJdbcCatalog.java']"
Flink: Remove the scala version suffix from artifact names. (#4193),4,54,2022-02-26 09:31:52+08:00,"['build.gradle', 'build.gradle', 'build.gradle', 'settings.gradle']"
Flink 1.14:  Add EqualityFieldKeySelector. (#2898),3,287,2022-02-28 14:46:25+08:00,"['EqualityFieldKeySelector.java', 'FlinkSink.java', 'TestFlinkIcebergSinkV2.java']"
Spark 3.2: Add stream-results param to expire_snapshots procedure (#4152),4,60,2022-03-01 02:13:31-08:00,"['TestExpireSnapshotsProcedure.java', 'BaseExpireSnapshotsSparkAction.java', 'ExpireSnapshotsProcedure.java', 'TestExpireSnapshotsAction.java']"
Docs: fix typo in spark-writes sample code (#4247),1,2,2022-03-01 19:29:44-08:00,['spark-writes.md']
Docs: Add Glue optimistic locking (#4216),1,57,2022-03-01 19:37:39-08:00,['aws.md']
Core: Add test for Table::expireSnapshot API removing delete files (#4211),1,61,2022-03-02 16:57:41-06:00,['TestRemoveSnapshots.java']
Core: Support serializable and snapshot isolation for ReplacePartitions (#2925),11,1092,2022-03-02 21:42:54-08:00,"['ReplacePartitions.java', 'BaseReplacePartitions.java', 'DeleteFileIndex.java', 'ManifestReader.java', 'MergingSnapshotProducer.java', 'PartitionSet.java', 'TestReplacePartitions.java', 'TestConflictValidation.java', 'SparkWriteConf.java', 'SparkWriteOptions.java', 'SparkWrite.java']"
Spark 3.2: Support PURGE flag in DROP TABLE (#3056),4,198,2022-03-02 21:45:15-08:00,"['TestRemoveOrphanFilesProcedure.java', 'SparkCatalog.java', 'SparkSessionCatalog.java', 'TestDropTable.java']"
ORC: Add configurable write properties (#3810),5,212,2022-03-03 14:09:47+08:00,"['build.gradle', 'TableProperties.java', 'configuration.md', 'ORC.java', 'TestTableProperties.java']"
Spark: Backport #4152 - stream-results option for expire snapshot procedure (#4252),10,125,2022-03-03 15:29:39-06:00,"['spark-procedures.md', 'BaseExpireSnapshotsSparkAction.java', 'TestExpireSnapshotsProcedure.java', 'BaseExpireSnapshotsSparkAction.java', 'ExpireSnapshotsProcedure.java', 'TestExpireSnapshotsAction.java', 'TestExpireSnapshotsProcedure.java', 'BaseExpireSnapshotsSparkAction.java', 'ExpireSnapshotsProcedure.java', 'TestExpireSnapshotsAction.java']"
Core: Improve GenericReader performance (#4218),12,296,2022-03-04 14:45:25+08:00,"['.gitignore', 'GenericOrcReaderBenchmark.java', 'GenericParquetReaderBenchmark.java', 'ReaderBenchmark.java', 'jmh.gradle', 'Deserializer.java', 'GenericOrcReaders.java', 'GenericParquetReaders.java', '.gitkeep', '.gitkeep', '.gitkeep', '.gitkeep']"
Docs: Fix typo in Java API Quickstart (#4256),1,4,2022-03-04 14:50:57+08:00,['java-api-quickstart.md']
Flink: Add FLIP-27 reader function that reads IcebergSourceSplit (#4234),7,568,2022-03-04 11:14:00-08:00,"['DataIteratorReaderFunction.java', 'ReaderFunction.java', 'RowDataReaderFunction.java', 'ReaderFunctionTestBase.java', 'ReaderUtil.java', 'TestArrayPoolDataIteratorBatcherRowData.java', 'TestRowDataReaderFunction.java']"
Common: Add dynamic loading exceptions as suppressed exceptions. (#4276),1,20,2022-03-07 10:37:26+08:00,['DynConstructors.java']
Flink 1.12: Add EqualityFieldKeySelector. (#4275),3,286,2022-03-07 10:44:15+08:00,"['EqualityFieldKeySelector.java', 'FlinkSink.java', 'TestFlinkIcebergSinkV2.java']"
Flink 1.13: Add EqualityFieldKeySelector. (#4274),3,287,2022-03-07 10:47:56+08:00,"['EqualityFieldKeySelector.java', 'FlinkSink.java', 'TestFlinkIcebergSinkV2.java']"
Hive: Known exception should not become CommitStateUnknownException (#4261),2,50,2022-03-07 12:54:11-06:00,"['HiveTableOperations.java', 'TestHiveCommits.java']"
Docs: Restructure docs files for new contributing guideline (#4208),79,1767,2022-03-07 16:50:34-08:00,"['_index.md', 'java-api-quickstart.md', 'java-api.md', 'java-custom-catalog.md', '_index.md', 'python-api-intro.md', 'python-feature-support.md', 'python-quickstart.md', '_index.md', '_index.md', '_index.md', '_index.md', '_index.md', '_index.md', '_index.md', 'blogs.md', 'contribute.md', 'join.md', 'talks.md', 'terms.md', 'benchmarks.md', 'how-to-release.md', 'multi-engine-support.md', 'roadmap.md', 'security.md', 'trademarks.md', 'how-to-verify-a-release.md', 'release-notes.md', '_index.md', 'blogs.md', 'contributing.md', 'join.md', 'talks.md', '_index.md', '_index.md', '_index.md', 'flink-connector.md', 'flink-getting-started.md', '_index.md', 'spec.md', 'terms.md', '_index.md', '_index.md', 'aws.md', 'jdbc.md', 'nessie.md', '_index.md', '_index.md', 'benchmarks.md', 'how-to-release.md', 'multi-engine-support.md', 'roadmap.md', 'security.md', 'trademarks.md', '_index.md', '_index.md', '_index.md', '_index.md', '_index.md', 'release-notes.md', '_index.md', 'spark-configuration.md', 'spark-ddl.md', 'spark-getting-started.md', 'spark-procedures.md', 'spark-queries.md', 'spark-structured-streaming.md', 'spark-writes.md', '_index.md', 'configuration.md', 'evolution.md', 'maintenance.md', 'partitioning.md', 'performance.md', 'reliability.md', 'schemas.md', '_index.md', 'spec.md', 'rest-catalog-open-api.yaml']"
Core: Add in RESTUtil for URL encoding (#4244),2,233,2022-03-07 16:53:51-08:00,"['RESTUtil.java', 'TestRESTUtil.java']"
Build: Cancel duplicate workflow runs (#4207),7,69,2022-03-07 16:55:38-08:00,"['cancel-duplicate-workflow-runs.yml', 'flink-ci.yml', 'hive-ci.yml', 'java-ci.yml', 'python-ci.yml', 'python-legacy-ci.yml', 'spark-ci.yml']"
"Build: Trigger CI using on pull_request, push to master branch or tags only (#4210)",6,99,2022-03-07 16:57:53-08:00,"['flink-ci.yml', 'hive-ci.yml', 'java-ci.yml', 'python-ci.yml', 'python-legacy-ci.yml', 'spark-ci.yml']"
